UF;MUNICIPIO;TOTAL;AUTOMOVEL;BONDE;CAMINHAO;CAMINHAO TRATOR;CAMINHONETE;CAMIONETA;CHASSI PLATAF;CICLOMOTOR;MICRO-ONIBUS;MOTOCICLETA;MOTONETA;ONIBUS;QUADRICICLO;REBOQUE;SEMI-REBOQUE;SIDE-CAR;OUTROS;TRATOR ESTEI;TRATOR RODAS;TRICICLO;UTILITARIO
UF;MUNICIPIO;TOTAL;AUTOMOVEL;BONDE;CAMINHAO;CAMINHAO TRATOR;CAMINHONETE;CAMIONETA;CHASSI PLATAF;CICLOMOTOR;MICRO-ONIBUS;MOTOCICLETA;MOTONETA;ONIBUS;QUADRICICLO;REBOQUE;SEMI-REBOQUE;SIDE-CAR;OUTROS;TRATOR ESTEI;TRATOR RODAS;TRICICLO;UTILITARIO
MG;MANGA;6420;2188;0;195;16;660;102;0;18;31;2669;291;80;0;121;18;1;2;0;0;6;22
MG;MANHUACU;50184;24854;0;2229;455;5195;1081;0;349;197;12882;962;286;0;696;461;3;12;1;10;15;496
MG;MANHUMIRIM;12954;6833;0;373;19;1216;306;0;222;60;3493;92;67;0;184;18;7;1;0;5;4;54
MG;MANTENA;20364;6012;0;594;28;1195;277;0;27;55;9010;2552;104;0;405;25;3;2;0;1;23;51
MG;MAR DE ESPANHA;7320;4105;0;313;24;769;284;0;60;40;1350;151;31;0;103;26;0;1;0;0;7;56
MG;MARAVILHAS;6821;2673;0;496;158;804;209;0;16;65;1433;294;243;0;69;295;0;5;0;3;2;56
MG;MARIA DA FE;6471;3459;0;333;10;732;201;0;14;36;1466;37;46;0;68;12;0;0;0;0;3;54
MG;MARIANA;35074;19033;0;995;160;3544;985;0;77;324;7797;467;538;0;503;164;5;1;0;7;28;446
MG;MARILAC;1464;548;0;41;0;101;11;0;1;4;641;51;23;0;34;0;1;0;0;0;0;8
MG;MARIO CAMPOS;8770;5316;0;404;61;949;256;0;17;40;1341;56;27;0;178;57;0;1;0;1;4;62
MG;MARIPA DE MINAS;1987;1060;0;95;2;195;38;0;2;20;434;58;9;0;57;3;0;1;0;0;4;9
MG;MARLIERIA;1931;1011;0;55;5;171;38;0;9;9;554;6;17;0;43;4;0;0;0;0;0;9
MG;MARMELOPOLIS;1623;618;0;57;2;179;65;0;3;18;648;4;11;0;10;0;0;0;0;0;0;8
MG;MARTINHO CAMPOS;10526;4608;0;505;561;1016;170;0;33;39;1778;304;105;0;445;896;15;2;0;0;2;47
MG;MARTINS SOARES;4591;2021;0;208;11;467;57;0;39;15;1614;28;30;0;60;21;0;0;0;0;1;19
MG;MATA VERDE;2161;633;0;69;2;181;26;0;3;60;1107;43;19;0;11;3;0;0;0;0;0;4
MG;MATERLANDIA;1837;686;0;30;0;166;15;0;7;6;862;19;11;0;27;0;0;0;0;0;7;1
MG;MATEUS LEME;18815;11267;0;659;127;1702;660;0;80;112;3175;276;128;0;403;87;2;1;0;3;10;123
MG;MATHIAS LOBATO;1023;442;0;37;1;66;10;0;3;6;377;46;11;0;21;1;0;0;0;0;1;1
MG;MATIAS BARBOSA;9181;4233;0;1214;369;710;281;0;63;56;1196;120;60;0;230;550;1;3;0;1;10;84
MG;MATIAS CARDOSO;1879;644;0;49;6;172;25;0;16;7;799;62;44;0;43;5;0;0;0;0;2;5
MG;MATIPO;8950;4735;0;403;40;1032;154;0;78;35;2130;99;77;0;80;41;1;0;0;1;1;43
MG;MATO VERDE;9320;2286;0;202;3;533;58;0;18;12;5478;462;46;0;203;4;0;1;0;0;2;12
MG;MATOZINHOS;22761;13153;0;700;419;1949;787;0;137;146;3581;332;244;0;439;674;0;10;0;4;20;166
MG;MATUTINA;2462;1238;0;97;8;458;33;0;5;33;505;20;14;0;36;10;0;0;0;0;0;5
MG;MEDEIROS;2524;1268;0;109;17;502;54;0;2;25;477;9;10;0;28;10;0;0;0;0;0;13
MG;MEDINA;6186;2878;0;185;30;651;103;0;18;71;1800;224;51;0;90;53;7;0;0;0;1;24
MG;MENDES PIMENTEL;2931;1070;0;66;3;199;35;0;5;9;1321;109;22;0;63;10;0;1;0;0;2;16
MG;MERCES;6755;2966;0;245;20;563;166;0;58;45;2320;131;30;0;132;34;1;0;0;1;8;35
MG;MESQUITA;2082;991;0;31;2;195;26;0;7;15;760;9;17;0;23;2;0;0;0;1;1;2
MG;MINAS NOVAS;9537;3192;0;263;24;822;159;0;23;47;4619;66;152;0;81;23;3;0;0;0;31;32
